Email,Category,Nominee,Timestamp
sda@dmfail.com,play,6,2025-12-10T18:09:36.456Z
sda@dmfail.com,director,2,2025-12-10T18:09:36.456Z
sda@dmfail.com,lead_actor,2,2025-12-10T18:09:36.456Z
sda@dmfail.com,lead_actress,0,2025-12-10T18:09:36.456Z
sda@dmfail.com,newcomer,0,2025-12-10T18:09:36.456Z
sda@dmfail.com,script,0,2025-12-10T18:09:36.456Z
sda@dmfail.com,supporting,0,2025-12-10T18:09:36.456Z
sda@dmfail.com,ensemble,0,2025-12-10T18:09:36.456Z
sda@dmfail.com,audiovisual,0,2025-12-10T18:09:36.456Z
sda@dmfail.com,scenography,2,2025-12-10T18:09:36.456Z
sda@dmfail.com,costume,2,2025-12-10T18:09:36.456Z
sda@dmfail.com,audience_play,6,2025-12-10T18:09:36.456Z
sda@dmfail.com,audience_actor,3,2025-12-10T18:09:36.456Z
SSA@GA.COM,play,0,2025-12-10T18:16:47.671Z
SSA@GA.COM,audience_actor,6,2025-12-10T18:16:47.671Z
asda@gmail.com,play,5,2025-12-11T04:30:05.390Z
asda@gmail.com,director,3,2025-12-11T04:30:05.390Z
asda@gmail.com,lead_actor,3,2025-12-11T04:30:05.390Z
asda@gmail.com,lead_actress,1,2025-12-11T04:30:05.390Z
asda@gmail.com,newcomer,3,2025-12-11T04:30:05.390Z
asda@gmail.com,script,1,2025-12-11T04:30:05.390Z
asda@gmail.com,supporting,1,2025-12-11T04:30:05.390Z
asda@gmail.com,ensemble,1,2025-12-11T04:30:05.390Z
asda@gmail.com,scenography,1,2025-12-11T04:30:05.390Z
asda@gmail.com,audiovisual,1,2025-12-11T04:30:05.390Z
asda@gmail.com,costume,1,2025-12-11T04:30:05.390Z
asda@gmail.com,audience_play,1,2025-12-11T04:30:05.390Z
asda@gmail.com,audience_actor,3,2025-12-11T04:30:05.390Z
