Email,Category,Nominee,Timestamp
ads@gmail.com,play,2,2025-12-10T13:42:59.520Z
ads@gmail.com,director,0,2025-12-10T13:42:59.520Z
ads@gmail.com,lead_actor,0,2025-12-10T13:42:59.520Z
ads@gmail.com,lead_actress,0,2025-12-10T13:42:59.520Z
ads@gmail.com,newcomer,0,2025-12-10T13:42:59.520Z
ads@gmail.com,script,2,2025-12-10T13:42:59.520Z
ads@gmail.com,supporting,0,2025-12-10T13:42:59.520Z
ads@gmail.com,ensemble,1,2025-12-10T13:42:59.520Z
ads@gmail.com,scenography,0,2025-12-10T13:42:59.520Z
ads@gmail.com,audiovisual,0,2025-12-10T13:42:59.520Z
ads@gmail.com,audience_play,0,2025-12-10T13:42:59.520Z
ads@gmail.com,audience_actor,5,2025-12-10T13:42:59.520Z
sad@dasvc.s,lead_actress,2,2025-12-10T13:44:13.380Z
sad@dasvc.s,script,2,2025-12-10T13:44:13.380Z
sad@dasvc.s,audience_actor,5,2025-12-10T13:44:13.380Z
ASD@GNMAIL.COM,play,0,2025-12-10T14:48:18.273Z
ASD@GNMAIL.COM,director,6,2025-12-10T14:48:18.273Z
ASD@GNMAIL.COM,lead_actress,2,2025-12-10T14:48:18.273Z
ASD@GNMAIL.COM,script,6,2025-12-10T14:48:18.273Z
ASD@GNMAIL.COM,supporting,2,2025-12-10T14:48:18.273Z
ASD@GNMAIL.COM,ensemble,2,2025-12-10T14:48:18.273Z
ASD@GNMAIL.COM,costume,0,2025-12-10T14:48:18.273Z
ASD@GNMAIL.COM,scenography,2,2025-12-10T14:48:18.273Z
ASD@GNMAIL.COM,audiovisual,0,2025-12-10T14:48:18.273Z
ASD@GNMAIL.COM,audience_play,0,2025-12-10T14:48:18.273Z
ASD@GNMAIL.COM,audience_actor,6,2025-12-10T14:48:18.273Z
